"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.562476583E0,9.110055542E-1,3.579955444E0,9.151219940E0
2.572522583E0,8.575666809E-1,3.572021942E0,9.179810486E0
2.582569583E0,7.414082336E-1,3.475921783E0,9.141340485E0
2.592616583E0,7.038363647E-1,3.375780029E0,9.238039398E0
2.602662583E0,7.363188171E-1,3.349584503E0,9.364825745E0
2.612709583E0,7.711962891E-1,3.404370575E0,9.379195862E0
2.622755583E0,7.548802185E-1,3.447780304E0,9.324409790E0
2.632802583E0,7.652087402E-1,3.446732483E0,9.209748230E0
2.642849583E0,7.758366394E-1,3.487298126E0,9.057065735E0
2.652895583E0,7.682025146E-1,3.531007233E0,9.003028107E0
2.662942583E0,8.047265625E-1,3.529959412E0,8.945697327E0
2.672988583E0,8.482859802E-1,3.511697388E0,8.967402191E0
2.683035583E0,9.184899902E-1,3.535497894E0,9.008566589E0
2.693081583E0,8.952882385E-1,3.544479218E0,9.055568848E0
2.703128583E0,8.455915833E-1,3.522325287E0,9.080566864E0
2.713175583E0,8.336164856E-1,3.500470734E0,9.048533478E0
2.723221583E0,7.957452393E-1,3.489094391E0,9.010512543E0
2.733268583E0,7.390132141E-1,3.494483185E0,9.043294373E0
2.743314583E0,7.213499451E-1,3.442990265E0,9.177565155E0
2.753361583E0,7.845185852E-1,3.370091858E0,9.313183136E0
2.763407583E0,8.445437622E-1,3.357068939E0,9.345665588E0
2.773454583E0,9.199868774E-1,3.437152405E0,9.376950531E0
2.783501583E0,1.075962524E0,3.516487427E0,9.413324890E0
2.793547583E0,9.978250122E-1,3.571872253E0,9.289682007E0
2.803594583E0,9.391470337E-1,3.566633148E0,9.103319550E0
2.813640583E0,8.780740356E-1,3.594475250E0,8.939709778E0
2.823687583E0,7.777825928E-1,3.615431671E0,8.785530396E0
2.833733583E0,7.533833313E-1,3.626957703E0,8.696764984E0
2.843780583E0,7.723937988E-1,3.643872528E0,8.748108215E0
2.853827583E0,8.250842285E-1,3.662583618E0,8.826545105E0
2.863873583E0,9.316625977E-1,3.657643890E0,8.903185730E0
2.873920583E0,9.725276184E-1,3.676504669E0,9.083560638E0
2.883966583E0,9.346563721E-1,3.639681244E0,9.364526367E0
2.894013583E0,8.710386658E-1,3.490142212E0,9.474248199E0
2.904059583E0,7.650590515E-1,3.334615631E0,9.457033997E0
2.914106583E0,6.813830566E-1,3.301235046E0,9.311835938E0
2.924153583E0,7.228468323E-1,3.380420380E0,9.110205231E0
2.934199583E0,7.857160950E-1,3.498674469E0,8.959618378E0
2.944246583E0,8.128097534E-1,3.627855835E0,8.847651215E0
2.954292583E0,8.075706482E-1,3.655697937E0,8.768914948E0
2.964339583E0,7.933502197E-1,3.646267548E0,8.840615845E0
2.974386583E0,8.168513489E-1,3.634741516E0,8.987011414E0
2.984432583E0,7.840695190E-1,3.581901398E0,9.108708344E0
2.994479583E0,7.562274170E-1,3.510799255E0,9.215735779E0
3.004525583E0,7.530839539E-1,3.462898865E0,9.195527802E0
3.014572583E0,7.524851990E-1,3.459306335E0,9.175469513E0
3.024618583E0,8.003855896E-1,3.491339722E0,9.221274261E0
3.034665583E0,8.137078857E-1,3.500919800E0,9.299262085E0
3.044712583E0,8.090675354E-1,3.441493378E0,9.319320374E0
3.054758583E0,7.303312683E-1,3.398981781E0,9.200617218E0
3.064805583E0,6.243516541E-1,3.371738434E0,9.038803711E0
3.074851583E0,5.929170227E-1,3.372337189E0,8.923244019E0
3.084898583E0,6.224057007E-1,3.409160614E0,8.907377014E0
3.094944583E0,6.963519287E-1,3.456013184E0,8.919352112E0
3.104991583E0,7.843688965E-1,3.535797272E0,8.982221375E0
3.115038583E0,8.559201050E-1,3.569177856E0,9.209598541E0
3.125084583E0,8.812174988E-1,3.521576843E0,9.420809326E0
3.135131583E0,8.524772644E-1,3.455115051E0,9.490115204E0
3.145177583E0,7.259902954E-1,3.407364349E0,9.438023529E0
3.155224583E0,6.863227844E-1,3.381617889E0,9.301657104E0
3.165270583E0,7.973918152E-1,3.437601471E0,9.222322083E0
3.175317583E0,8.455915833E-1,3.529959412E0,9.191186829E0
3.185364583E0,8.545729065E-1,3.587439880E0,9.121431885E0
3.195410583E0,8.910969543E-1,3.653452606E0,9.041947174E0
3.205457583E0,9.075627136E-1,3.650907898E0,8.926237793E0
3.215503583E0,8.514294434E-1,3.626808014E0,8.775351563E0
3.225550583E0,8.134085083E-1,3.570974121E0,8.827892303E0
