"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.580310484E2,6.500005291E1,2.546730312E1,5.922314178E0,1.452154163E0,1.008969263E1,3.466595790E0,4.579346390E0
1.590310487E2,6.500006496E1,2.546730956E1,5.664133426E0,1.224002418E0,1.235370186E1,3.425764149E0,4.989629194E0
1.600310503E2,6.500008044E1,2.546731297E1,5.558391814E0,1.499836632E0,9.207632748E0,3.383301659E0,4.526770580E0
1.610310506E2,6.500009334E1,2.546732027E1,5.799752531E0,1.242779439E0,1.148264436E1,3.330428556E0,4.780009909E0
1.620310524E2,6.500010991E1,2.546732356E1,5.819460209E0,1.570508660E0,8.439097536E0,3.325888136E0,4.406116142E0
1.630310529E2,6.500012235E1,2.546733013E1,5.926372720E0,1.237108250E0,1.097250286E1,3.374565969E0,4.786767248E0
1.640310540E2,6.500013817E1,2.546733809E1,5.512136579E0,1.585219478E0,1.189513811E1,3.378476281E0,4.296152457E0
1.650310541E2,6.500014955E1,2.546734198E1,5.022171938E0,1.212369182E0,1.053948821E1,3.354979965E0,4.682100954E0
1.660310557E2,6.500016543E1,2.546734284E1,5.332442361E0,1.485278220E0,6.713473001E0,3.300135222E0,4.167184106E0
1.670310562E2,6.500017856E1,2.546735120E1,5.321837963E0,1.243022753E0,1.047762239E1,3.290176492E0,4.551514334E0
1.680310572E2,6.500019549E1,2.546736126E1,5.139340151E0,1.575338899E0,1.130971027E1,3.290972343E0,4.146063036E0
1.690310575E2,6.500020887E1,2.546736773E1,5.046670557E0,1.254990882E0,1.040952023E1,3.310719249E0,4.631711689E0
1.700310581E2,6.500022547E1,2.546737677E1,5.045332059E0,1.622802935E0,1.057764398E1,3.332621733E0,4.253881244E0
1.710320174E2,6.500023717E1,2.546738350E1,4.971539585E0,1.255920567E0,1.060581757E1,3.308851997E0,4.639966546E0
1.720320300E2,6.500025296E1,2.546739433E1,4.778285400E0,1.573410093E0,1.289520507E1,3.282876147E0,4.110067647E0
1.730320314E2,6.500026495E1,2.546739848E1,4.886823766E0,1.260489564E0,1.160312462E1,3.327829361E0,4.612584897E0
1.740319858E2,6.500028235E1,2.546740745E1,5.074233249E0,1.608470085E0,1.233225185E1,3.351923569E0,4.613472262E0
1.750319436E2,6.500029468E1,2.546740893E1,5.142021171E0,1.270536180E0,7.273210266E0,3.328095395E0,5.026208813E0
1.760318878E2,6.500031110E1,2.546741236E1,5.162935830E0,1.584487460E0,5.582348422E0,3.304750194E0,4.608935501E0
1.770318373E2,6.500032272E1,2.546741773E1,4.746220887E0,1.267222138E0,7.057274836E0,3.284538417E0,4.997948609E0
1.780317904E2,6.500033601E1,2.546742209E1,4.862541934E0,1.344092517E0,8.215949876E0,3.261489074E0,4.505904576E0
1.790317290E2,6.500034931E1,2.546742822E1,4.957831108E0,1.391450926E0,9.319275771E0,3.248214320E0,4.594211301E0
1.800316833E2,6.500036463E1,2.546743385E1,5.124641770E0,1.452331419E0,1.047331894E1,3.239579218E0,4.435581054E0
1.810316421E2,6.500037820E1,2.546744529E1,5.234865938E0,1.490064372E0,1.567237910E1,3.262529556E0,4.464793308E0
1.820315862E2,6.500038919E1,2.546745605E1,5.684105816E0,1.310691226E0,1.770839496E1,3.233911426E0,4.607148817E0
1.830315437E2,6.500040330E1,2.546747416E1,5.500980549E0,1.555440653E0,2.322819492E1,3.180232677E0,4.258337557E0
1.840315061E2,6.500040604E1,2.546750592E1,5.305667201E0,1.295165226E0,4.896792530E1,3.133027329E0,4.590253074E0
1.850314559E2,6.500040417E1,2.546754341E1,5.259862364E0,1.313566235E0,7.421639095E1,3.076376022E0,4.202418697E0
1.860314058E2,6.500039942E1,2.546757741E1,5.130623613E0,1.402227755E0,9.127492220E1,3.022557259E0,4.122461155E0
1.870313603E2,6.500039461E1,2.546761241E1,5.093257992E0,1.509878014E0,9.883786634E1,2.972104946E0,3.927683394E0
1.880313148E2,6.500039021E1,2.546763534E1,5.070861275E0,1.282176417E0,1.040571680E2,2.923499713E0,4.040108282E0
1.890312740E2,6.500038714E1,2.546767031E1,5.090902559E0,1.510030870E0,1.022500772E2,2.877324716E0,3.682498139E0
1.900312356E2,6.500038781E1,2.546769830E1,5.509597467E0,1.268384551E0,9.531698953E1,2.833458474E0,3.883960214E0
1.910311986E2,6.500038394E1,2.546773299E1,5.474929230E0,1.510731394E0,9.980221608E1,2.791785548E0,3.719374059E0
1.920311637E2,6.500038272E1,2.546775992E1,5.267972284E0,1.291493851E0,9.985775990E1,2.770289747E0,3.842079523E0
1.930311314E2,6.500037879E1,2.546779465E1,5.196738728E0,1.530759878E0,1.023810372E2,2.731775256E0,3.621506772E0
1.940311005E2,6.500037422E1,2.546781900E1,5.213925336E0,1.313614918E0,1.080808628E2,2.695186501E0,3.583155769E0
1.950310721E2,6.500036913E1,2.546785232E1,5.350413927E0,1.509745423E0,1.100310602E2,2.660427185E0,3.408656589E0
1.960310440E2,6.500036231E1,2.546787436E1,5.280397028E0,1.296404090E0,1.169259697E2,2.627405829E0,3.442656837E0
1.970310185E2,6.500035591E1,2.546790122E1,4.963389438E0,1.387262581E0,1.182759543E2,2.596035542E0,3.087211034E0
1.980309933E2,6.500034992E1,2.546792258E1,4.857158691E0,1.337298743E0,1.198474305E2,2.566233765E0,3.000655977E0
1.990309707E2,6.500034045E1,2.546794576E1,4.916380800E0,1.392748151E0,1.244719484E2,2.537922076E0,3.000000000E0
2.000309502E2,6.500033304E1,2.546797230E1,4.717161584E0,1.449982716E0,1.254380430E2,2.511025962E0,3.000000000E0
2.010309303E2,6.500032324E1,2.546798656E1,4.663307675E0,1.278356059E0,1.363589721E2,2.485474683E0,3.000000000E0
